,Unnamed: 0,m_link,Name,Price,Product_price,Discount,Shop,Brand,Sold,Warranty,Warranty_way,Warranty_place,From,Rate,Comment,5,4,3,2,1
46,46,https://tiki.vn/chuot-may-tinh-co-day-p122179793.html?spid=122179799,Chuột máy tính có dây,63.000 ₫,Non,Non,Phụ kiện âm thanh Tài Lộc,Thương hiệu: OEM,0,0,0,0,Việt Nam,Non,Non,0,0,0,0,0
47,47,https://tiki.vn/chuot-may-tinh-co-day-p133431968.html?spid=133431972,CHUỘT MÁY TÍNH CÓ DÂY,55.000 ₫,Non,Non,Shopxuka2244,Thương hiệu: OEM,0,0,0,0,Việt Nam,Non,Non,0,0,0,0,0
48,48,https://tka.tiki.vn/pixel/pixel?CLICK=&data=djAwMTj8Y32nyA4jxIi50Bztav2XZNZOwTnvPfxa1A7Mz4_6aY15zffFOQOalxN28E8IPKIva7w1fnu_CynyZgFwm8LDjVrE6z5UgHsWipmQAsOT20UsgwDx7hHN9CCKSgUuIhYv7GzKYkLeqiNLREGSMlyYy4cTwCrFIyI4-RV-qBDh069VlgPTpm7Yw5lY1Em61GMjNRXs90iXQV4oRznAWd1EDLmIqrFnDdZsLZNm2CoL1xHJyYJ4qTb3tS5t9_AdskSHA0UhUxuGHDlHuAvC7MxZv8FE1WKmCc8mc5qcHf0XnAJqKpYRyHPPzQMFMyD2-swbcfcscFcekoriQVcAEvUyDEUCE9gksB5Fzi1enqBp-ZzbC976ginrujrhEnJ8YCDzfxhQxDPy1u8pFI83moJFNWJ1RXEGB0aDYYj63D36Ud3BeSGWRzc34bA1QAswPfdW-UV4RGa080p_wL5CHRmiNr-UZZ76cxWf9L9TgzdRQQYmtwpJzEKFz0AzRYWFhdCqQ4rlVk29Wj_owB4JuuxlMIbvvFg_og536KNOV6_CjdAD2EKNDzoBBWEhM-gtWPrCH2qbk_WFOhJMMHhUNTVZlaY-5e6ML36NArJc0GMpcxaiSgV-v-sagxMlRfBOS7naQMgVfWSvjLp8PjI-CWTH_262zRXz0Ul0M1_xXBMSHTBIBBGVZsPtTQMkeh8kWU9ncvcyLWeDVqpWxoVl9nCquSh4UWRQhuKfNBssgFPOYaSeeOQRnbkF3BrvtvPKduPWRa7w9DuNTBXKE-bjk3J6uGfGqt2CkSBUjuiNh9vsJsplbhQsZhbyVE_C5PmU1GLgkiWBZ0uKeKyIo3pFncCs0FkS4t5unKT4Wazusq-znRGf4tRBzKzUOmoNG3Arm6iJiNi1Zx-q2aXzfXJIeYIlFasxM7TunIlyCHi4cutwhIFJDTDpvz8Jp7kHLW99I-H7IUyr1z8Kmi9pIvwtmeq9kgwRIJhToYv2gnF5Q05_M9i-PJ4_fQXbK8QwwSDSZNj0phOHN9-uuQ&itm_campaign=SRC_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.26446_Y.264597_Z.672065_CN.chuot&itm_medium=CPC&itm_source=tiki-ads&reqid=F6Is70XiAa&pos=49&redirect=https%3A%2F%2Ftiki.vn%2Fchuot-choi-game-co-day-7-nut-led-16000-dpi-den-nen-danh-cho-may-tinh-laptop-hang-chinh-hang-p51530573.html%3Fspid%3D51530574,Chuột Chơi Game Có Dây 7 Nút LED 16000 DPI Đèn Nền Dành Cho Máy Tính Laptop - Hàng Chính Hãng,399.000 ₫,Non,Non,vinet shop,Thương hiệu: VINETTEAM,Đã bán 3,3 Tháng,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,0,5,1 nhận xét,1,0,0,0,0
49,49,https://tiki.vn/chuot-may-tinh-apedra-hn-m5-hang-chinh-hang-giao-mau-ngau-nhien-p72029235.html?spid=72029236,Chuột Máy Tính APEDRA HN-M5 - Hàng Chính Hãng - Giao Màu Ngẫu nHiên,125.000 ₫,Non,Non,HOÀNG NHÂN COMPUTER,Thương hiệu: APEDRA,0,6 Tháng,Tem bảo hành,Bảo hành chính hãng,Trung Quốc,Non,Non,0,0,0,0,0
50,50,https://tiki.vn/chuot-quang-may-tinh-adb-link-co-day-model-m199-p116892673.html?spid=116892674,"Chuột Quang Máy Tính ADB Link Có Dây , Model :M199",86.000 ₫,Non,Non,Thiên Thảo Computer,Thương hiệu: ADBLink,0,1 Năm,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,Việt Nam,Non,Non,0,0,0,0,0
51,51,https://tiki.vn/chuot-may-tinh-doc-dao-de-thuong-mang-phong-cach-hoat-hinh-p114255687.html?spid=122655694,"Chuột Máy Tính Độc Đáo, Dễ Thương Mang Phong Cách Hoạt Hình",151.050 ₫,159.000 ₫,-5%,Lingha Fashion,Thương hiệu: OEM,0,1 Năm,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,Trung Quốc,Non,Non,0,0,0,0,0
52,52,https://tka.tiki.vn/pixel/pixel?CLICK=&data=djAwMSSe62u4YiUpI-dFp7VRPHVfnPO9U64kYPvaIi3eE9xfdn5pNnYQ4YqoYzHuKX0NFGXk8UStuis_gwu-Awc6Gm8Ei9yjHvqSY1-2B3ZMOODkJBhBbW3MZLb7allHSAMRE22ZKWt_IC6bllAAiXem8usO3pCaOeK4eKbER0frGALeSYnmJkm-HPMWa0VFCkYnLWPEZH5VVomWS3w_oszJifENnDktm37MWLZIZVtwQ1quBLZ3kTBVFoL1Mvt3dLw1WMcu1fTi8RxSkbDPjrPwRCHJPqVaTrO2o8z7v8z4QqmNveNCKNAMA1UySwxsLyYSzUA7J1KpDVcC_BDyyN7Ofhcv45F4rXnNHowTTn2V2cKzDZs4Rf0j7VE7guYV3zPB17WVULOjFxNikegmYcNT8l1mgzSMZyWx7G8zf0_T5Wt5oJ7Kw_MZBl9DzbYFMZ7cmqM55gqnNO7dr1kOi2-oxUjVKDQoLFWcKc4UNFI3OkbM3ll5mpL29Q3egatEaQCfA0g0vJiKvoX78QLsSpZGtuwRRv4Uebh4DSy1xdT-SH76FjM5sI_PGRzsBlOHWYBDn1609RxWYJj_B0ge7OdvKwlbVyE6QVZDm5b7qODfui5BdMUh_Fo2p5ewab9rKreGTAl6ZcgsZxkqMD7AAnYY_VEnhJBLFTksJtcrrm6ScmUcpQpw8ckf3TLIu7F6D4_hP6dqrdzDjmbbId8-WpZ15l4bXIrwdKocvfs1vKJg_9_pBE0iVyjaJaVf0Ubzz8U_5cY3Sv-qKmG4jH-xFOwFK7fQ1ZQQTZoCyVbkH8XBiXvYRUqpGy6qQRbkoEHqyvOynLjzk6jYRwwRtlR9fZCJ1MUyielvqzWDsMaEknoxaxTnsFI60NFtWQi9jP5sdDH01SR0g4AdSCu1fwXBIglXG0yEJYTGr7dSebLdlv00swnIC0PlTB6nCDNlEfO-wZq7VcMgJWAqSfa9RA0WJZfdFQUzAKk9A_ENdRCD_yJY2yFSFgCxCHHLvuSbO7CIs0IHu5jStWgwwAYH67-gcTYm_JfE_c99Opggl1hn_ViFHu01dSw&itm_campaign=SRC_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.38927_Y.298812_Z.731800_CN.Mouse&itm_medium=CPC&itm_source=tiki-ads&reqid=F6Is70XiAa&pos=53&redirect=https%3A%2F%2Ftiki.vn%2Fchuot-led-rgb-3200-dpi-gaming-mouse-a868-p73258986.html%3Fspid%3D73258992,Chuột LED RGB 3200 DPI Gaming Mouse A868,150.000 ₫,Non,Non,Tech7,Thương hiệu: OEM,Đã bán 241,3 Tháng,Phiếu bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,3200,4.8,91 nhận xét,75,13,2,1,0
53,53,https://tiki.vn/chuot-may-tinh-co-day-forter-ft-3900p-cuc-ben-hang-nhap-khau-p114981319.html?spid=114981320,.Chuột Máy Tính có dây Forter FT - 3900P Cực Bền Hàng nhập khẩu,115.000 ₫,Non,Non,Videas,Thương hiệu: Forter,0,12 Tháng,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,FT - 3900P,Non,Non,0,0,0,0,0
54,54,https://tiki.vn/chuot-may-vi-tinh-co-day-forev-fv-55-chuot-laptop-co-day-p118537079.html?spid=118537080,Chuột Máy Vi Tính Có Dây FV-55 Chuột Laptop Có Dây,237.600 ₫,Non,Non,dienmayohno,Thương hiệu: OEM,0,0,0,0,Việt Nam,Non,Non,0,0,0,0,0
55,55,https://tiki.vn/chuot-may-tinh-newmen-n500-plus-hang-chinh-hang-p104069537.html?spid=104069539,Chuột máy tính Newmen N500 Plus - Hàng chính hãng,255.000 ₫,Non,Non,AChauComputer,Thương hiệu: Newmen,0,0,0,0,Việt Nam,Non,Non,0,0,0,0,0
